strategy,total_chunks,avg_length,min_length,max_length
default,83,830.4939759036145,21,6013
balanced,87,792.264367816092,21,3834
fine_grained,269,255.55018587360595,8,2386
context,83,830.4939759036145,21,6013
hierarchical,265,259.4301886792453,8,2971
